Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,From,Task
TaTR15WoWh,Table TRAMK 1500 Workstation White,Table,TRAMK,1500,Workstation,White,8*1*1,8,CF69E,Mike,Receive,Put away
PrSoA4MoMi,Printer Sonac A4 Mono Mix,Printer,Sonac,A4,Mono,Mix,16*1*1,16,DO37C,John,Receive,Put away
TaAE18AdBl,Table AEKI 1800 Adjustable Black,Table,AEKI,1800,Adjustable,Black,8*1*1,8,CP84H,Sarah,Receive,Put away
LaOv14i5Bl,"Laptop Ovonel 14"" i5 Black",Laptop,Ovonel,"14""",i5,Black,16*1*1,16,DS81G,Mike,Receive,Put away
CuWE12DoBe,Cupboard WENO 1200 Door Beige,Cupboard,WENO,1200,Door,Beige,8*1*1,8,AX14E,Emily,Receive,Put away
DrWE12DoGr,Drawer WENO 1200 Door Grey,Drawer,WENO,1200,Door,Grey,8*1*1,8,AF66B,John,Receive,Put away
GaOGLLePi,Gaming Chair OGAP L Leather Pink,Gaming Chair,OGAP,L,Leather,Pink,16*1*1,16,AV49C,Jane,Receive,Put away
TVEs32S4Bl,"TV Esnesih 32"" S4K Black",TV,Esnesih,"32""",S4K,Black,8*1*1,8,BI13A,Amy,Receive,Put away
AlYn15i5Gr,"All-in-one Ynos 15"" i5 Grey",All-in-one,Ynos,"15""",i5,Grey,16*1*1,16,CP96B,Chris,Receive,Put away
PeNa50WaPi,Pencil Nalin 50 Watercolour Pink,Pencil,Nalin,50,Watercolour,Pink,48*10*5,2400,AR84E,David,Receive,Put away
MoPH45WiBl,Mouse PH 450 Wireled Black,Mouse,PH,450,Wireled,Black,16*10*1,160,DT98B,Mike,Receive,Put away
LaOv17i5Bl,"Laptop Ovonel 17"" i5 Black",Laptop,Ovonel,"17""",i5,Black,16*1*1,16,DX79A,Emily,Receive,Put away
LaPH17i7Bl,"Laptop PH 17"" i7 Black",Laptop,PH,"17""",i7,Black,16*1*1,16,CZ50H,Amy,Receive,Put away
MoPH27BlBl,Mouse PH 270 Bluetooth Black,Mouse,PH,270,Bluetooth,Black,16*10*1,160,DX71E,Mike,Receive,Put away
OfOGLAdPi,Office Chair OGAP L Adjustable Pink,Office Chair,OGAP,L,Adjustable,Pink,16*1*1,16,AX40F,John,Receive,Put away
GaOGMHeBl,Gaming Chair OGAP M Head pillow Black,Gaming Chair,OGAP,M,Head pillow,Black,16*1*1,16,BS15C,Laura,Receive,Put away
PrReA4AlGr,Printer Rehtorb A4 All-in-one Grey,Printer,Rehtorb,A4,All-in-one,Grey,16*1*1,16,BW69F,Mike,Receive,Put away
LaYn15i5Gr,"Laptop Ynos 15"" i5 Grey",Laptop,Ynos,"15""",i5,Grey,16*1*1,16,BH92C,Sarah,Receive,Put away
LaRe14i7Gr,"Laptop Rezar 14"" i7 Grey",Laptop,Rezar,"14""",i7,Grey,16*1*1,16,AU71D,David,Receive,Put away
GaOGMLeWh,Gaming Chair OGAP M Leather White,Gaming Chair,OGAP,M,Leather,White,16*1*1,16,AX90B,Sarah,Receive,Put away
OfSEMLeBl,Office Chair SEWOL M Leather Black,Office Chair,SEWOL,M,Leather,Black,16*1*1,16,DL51E,Laura,Receive,Put away
GaSELLeGr,Gaming Chair SEWOL L Leather Grey,Gaming Chair,SEWOL,L,Leather,Grey,16*1*1,16,AV72A,Jane,Receive,Put away
CuTE18SlBe,Cupboard TEWOL 1800 Sliding Beige,Cupboard,TEWOL,1800,Sliding,Beige,8*1*1,8,DS95B,John,Receive,Put away
OfOGMHeWh,Office Chair OGAP M Head pillow White,Office Chair,OGAP,M,Head pillow,White,16*1*1,16,AJ89E,Alex,Receive,Put away
DrWE90FiWh,Drawer WENO 900 Filing White,Drawer,WENO,900,Filing,White,8*1*1,8,CV13E,Sarah,Receive,Put away
PrSoA3MoBl,Printer Sonac A3 Mono Black,Printer,Sonac,A3,Mono,Black,16*1*1,16,DK75D,Mike,Receive,Put away
AlPH1416Wh,"All-in-one PH 14"" 16GB RAM White",All-in-one,PH,"14""",16GB RAM,White,16*1*1,16,DS93D,Jane,Receive,Put away
CaWE12SlBl,Cabinet WENO 1200 Sliding Black,Cabinet,WENO,1200,Sliding,Black,8*1*1,8,BN60C,Alex,Receive,Put away
DrQE18FiWh,Drawer QEKI 1800 Filing White,Drawer,QEKI,1800,Filing,White,8*1*1,8,DH92F,Laura,Receive,Put away
AlRe1416Gr,"All-in-one Rezar 14"" 16GB RAM Grey",All-in-one,Rezar,"14""",16GB RAM,Grey,16*1*1,16,CX71E,Chris,Receive,Put away
MoSu45MeNa,Mouse Susa 450 Mechanical Navi,Mouse,Susa,450,Mechanical,Navi,16*10*1,160,AG25D,Alex,Receive,Put away
KeHc27BlBl,Keyboard Hcetigol 270 Bluetooth Black,Keyboard,Hcetigol,270,Bluetooth,Black,16*10*1,160,CI36B,Chris,Receive,Put away
AlRe148GWh,"All-in-one Rezar 14"" 8GB RAM White",All-in-one,Rezar,"14""",8GB RAM,White,16*1*1,16,AN92H,Alex,Receive,Put away
PrReA4WiBl,Printer Rehtorb A4 Wifi Black,Printer,Rehtorb,A4,Wifi,Black,16*1*1,16,BX76G,Emily,Receive,Put away
TaAE18AuBl,Table AEKI 1800 Auto Adjustable Black,Table,AEKI,1800,Auto Adjustable,Black,8*1*1,8,CZ63G,Mike,Receive,Put away
MoSu35MePi,Mouse Susa 350 Mechanical Pink,Mouse,Susa,350,Mechanical,Pink,16*10*1,160,BY14D,Alex,Receive,Put away
LaSu14i7Wh,"Laptop Susa 14"" i7 White",Laptop,Susa,"14""",i7,White,16*1*1,16,AM22E,Sarah,Receive,Put away
PeRe24HeGr,Pencil Reldeats 24 Hexagonal Grey,Pencil,Reldeats,24,Hexagonal,Grey,48*10*5,2400,AG08H,Mike,Receive,Put away
LaRe14i7Si,"Laptop Rezar 14"" i7 Silver",Laptop,Rezar,"14""",i7,Silver,16*1*1,16,BQ07A,David,Receive,Put away
MoPH45MeWh,Mouse PH 450 Mechanical White,Mouse,PH,450,Mechanical,White,16*10*1,160,AW69E,Sarah,Receive,Put away
GaOGLErGr,Gaming Chair OGAP L Ergonomic Grey,Gaming Chair,OGAP,L,Ergonomic,Grey,16*1*1,16,CK13F,Sarah,Receive,Put away
NoGrA5ruWh,Notebook Graph A5 ruled White,Notebook,Graph,A5,ruled,White,48*10*5,2400,BP52A,Mike,Receive,Put away
AlRe14i5Bl,"All-in-one Rezar 14"" i5 Black",All-in-one,Rezar,"14""",i5,Black,16*1*1,16,CS68F,David,Receive,Put away
AlSu17i5Gr,"All-in-one Susa 17"" i5 Grey",All-in-one,Susa,"17""",i5,Grey,16*1*1,16,DQ39C,Amy,Receive,Put away
LaPH1416Si,"Laptop PH 14"" 16GB RAM Silver",Laptop,PH,"14""",16GB RAM,Silver,16*1*1,16,DM68E,Emily,Receive,Put away
PrReA4WiWh,Printer Rehtorb A4 Wifi White,Printer,Rehtorb,A4,Wifi,White,16*1*1,16,DZ34A,Alex,Receive,Put away
TaTR10AdWh,Table TRAMA 1000 Adjustable White,Table,TRAMA,1000,Adjustable,White,8*1*1,8,BV11B,Mike,Receive,Put away
DrQE18LoBl,Drawer QEKI 1800 Locker Black,Drawer,QEKI,1800,Locker,Black,8*1*1,8,CL79B,Laura,Receive,Put away
MoRe27MeNa,Mouse Rerar 270 Mechanical Navi,Mouse,Rerar,270,Mechanical,Navi,16*10*1,160,DW53B,Alex,Receive,Put away
OfSEMAdWh,Office Chair SEWOL M Adjustable White,Office Chair,SEWOL,M,Adjustable,White,16*1*1,16,BG70E,Amy,Receive,Put away
SPGi24WaWh,SPen Gib 24 Watercolour White,SPen,Gib,24,Watercolour,White,48*10*5,2400,CQ48G,Emily,Receive,Put away
GaSEMErGr,Gaming Chair SEWOL M Ergonomic Grey,Gaming Chair,SEWOL,M,Ergonomic,Grey,16*1*1,16,BW95G,Laura,Receive,Put away
AlOv17i5Gr,"All-in-one Ovonel 17"" i5 Grey",All-in-one,Ovonel,"17""",i5,Grey,16*1*1,16,DS08G,Chris,Receive,Put away
GaAESLeWh,Gaming Chair AEKI S Leather White,Gaming Chair,AEKI,S,Leather,White,16*1*1,16,CO49G,David,Receive,Put away
MoHc27MeBl,Mouse Hcetigol 270 Mechanical Black,Mouse,Hcetigol,270,Mechanical,Black,16*10*1,160,DI22A,Chris,Receive,Put away
AlPH17i7Wh,"All-in-one PH 17"" i7 White",All-in-one,PH,"17""",i7,White,16*1*1,16,DH66G,Emily,Receive,Put away
KeSu45MePi,Keyboard Susa 450 Mechanical Pink,Keyboard,Susa,450,Mechanical,Pink,16*10*1,160,DU08C,David,Receive,Put away
SPGi50SoBl,SPen Gib 50 Soluble Black,SPen,Gib,50,Soluble,Black,48*10*5,2400,AP74H,Jane,Receive,Put away
AlRe1516Gr,"All-in-one Rezar 15"" 16GB RAM Grey",All-in-one,Rezar,"15""",16GB RAM,Grey,16*1*1,16,CZ82E,Jane,Receive,Put away
KeHc27ErBl,Keyboard Hcetigol 270 Ergonomic Black,Keyboard,Hcetigol,270,Ergonomic,Black,16*10*1,160,DV72H,Sarah,Receive,Put away
MoPH45MePi,Mouse PH 450 Mechanical Pink,Mouse,PH,450,Mechanical,Pink,16*10*1,160,CO69B,Alex,Receive,Put away
NoExA3liGr,Notebook Excercise A3 line Grey,Notebook,Excercise,A3,line,Grey,48*10*5,2400,DN85E,Mike,Receive,Put away
SPAl12WaPi,SPen Aloyarc 12 Watercolour Pink,SPen,Aloyarc,12,Watercolour,Pink,48*10*5,2400,BV41C,Amy,Receive,Put away
AlOv14i7Bl,"All-in-one Ovonel 14"" i7 Black",All-in-one,Ovonel,"14""",i7,Black,16*1*1,16,CF62D,Sarah,Receive,Put away
CuTE12DoBe,Cupboard TEWOL 1200 Door Beige,Cupboard,TEWOL,1200,Door,Beige,8*1*1,8,CL81C,John,Receive,Put away
GaOGMErPi,Gaming Chair OGAP M Ergonomic Pink,Gaming Chair,OGAP,M,Ergonomic,Pink,16*1*1,16,BQ03E,Emily,Receive,Put away
KeSu27WiWh,Keyboard Susa 270 Wireled White,Keyboard,Susa,270,Wireled,White,16*10*1,160,BY85B,Alex,Receive,Put away
TaCI10AuGr,Table CITSATNAF 1000 Auto Adjustable Grey,Table,CITSATNAF,1000,Auto Adjustable,Grey,8*1*1,8,CR43F,John,Receive,Put away
AlPH1716Si,"All-in-one PH 17"" 16GB RAM Silver",All-in-one,PH,"17""",16GB RAM,Silver,16*1*1,16,BQ24H,Emily,Receive,Put away
CaRG90DoGr,Cabinet RGAP 900 Door Grey,Cabinet,RGAP,900,Door,Grey,8*1*1,8,CW86F,Amy,Receive,Put away
GaOGLAdPi,Gaming Chair OGAP L Adjustable Pink,Gaming Chair,OGAP,L,Adjustable,Pink,16*1*1,16,AL47E,Jane,Receive,Put away
LaRe15i7Wh,"Laptop Rezar 15"" i7 White",Laptop,Rezar,"15""",i7,White,16*1*1,16,DI50B,Jane,Receive,Put away
PrReA3WiBl,Printer Rehtorb A3 Wifi Black,Printer,Rehtorb,A3,Wifi,Black,16*1*1,16,DQ15A,Jane,Receive,Put away
TVYn50FHSi,"TV Ynos 50"" FHD Silver",TV,Ynos,"50""",FHD,Silver,8*1*1,8,DO18G,Laura,Receive,Put away
OfXELAdWh,Office Chair XENO L Adjustable White,Office Chair,XENO,L,Adjustable,White,16*1*1,16,DG49C,Laura,Receive,Put away
TVGL42FHBl,"TV GL 42"" FHD Black",TV,GL,"42""",FHD,Black,8*1*1,8,BU90A,Mike,Receive,Put away
KeRe27WiNa,Keyboard Rerar 270 Wireled Navi,Keyboard,Rerar,270,Wireled,Navi,16*10*1,160,BZ47G,Jane,Receive,Put away
GaSEMAdBl,Gaming Chair SEWOL M Adjustable Black,Gaming Chair,SEWOL,M,Adjustable,Black,16*1*1,16,AM70E,Amy,Receive,Put away
TaTR18FrWh,Table TRAMA 1800 Frame White,Table,TRAMA,1800,Frame,White,8*1*1,8,DI79F,Sarah,Receive,Put away
NoExA3liBl,Notebook Excercise A3 line Black,Notebook,Excercise,A3,line,Black,48*10*5,2400,BX61F,Chris,Receive,Put away
CuTE12FiBe,Cupboard TEWOL 1200 Filing Beige,Cupboard,TEWOL,1200,Filing,Beige,8*1*1,8,BY26C,John,Receive,Put away
MoHc27BlBl,Mouse Hcetigol 270 Bluetooth Black,Mouse,Hcetigol,270,Bluetooth,Black,16*10*1,160,BP36G,David,Receive,Put away
MoRe27WiNa,Mouse Rerar 270 Wireled Navi,Mouse,Rerar,270,Wireled,Navi,16*10*1,160,BS71G,Amy,Receive,Put away
LaSu1716Gr,"Laptop Susa 17"" 16GB RAM Grey",Laptop,Susa,"17""",16GB RAM,Grey,16*1*1,16,DO40C,Mike,Receive,Put away
TaAE18FrSi,Table AEKI 1800 Frame Silver,Table,AEKI,1800,Frame,Silver,8*1*1,8,DX16C,Sarah,Receive,Put away
KeHc35WiNa,Keyboard Hcetigol 350 Wireled Navi,Keyboard,Hcetigol,350,Wireled,Navi,16*10*1,160,CW05C,David,Receive,Put away
SPAl12SoPi,SPen Aloyarc 12 Soluble Pink,SPen,Aloyarc,12,Soluble,Pink,48*10*5,2400,AF77A,Alex,Receive,Put away
TVGn75S4Bl,"TV Gnusmag 75"" S4K Black",TV,Gnusmag,"75""",S4K,Black,8*1*1,8,CH43D,Alex,Receive,Put away
NoScA4doGr,Notebook Scrap A4 dot Grey,Notebook,Scrap,A4,dot,Grey,48*10*5,2400,BM10A,Jane,Receive,Put away
AlRe158GWh,"All-in-one Rezar 15"" 8GB RAM White",All-in-one,Rezar,"15""",8GB RAM,White,16*1*1,16,DO55F,Chris,Receive,Put away
KeHc35WiBl,Keyboard Hcetigol 350 Wireled Black,Keyboard,Hcetigol,350,Wireled,Black,16*10*1,160,CZ58B,Amy,Receive,Put away
TVEs754KBl,"TV Esnesih 75"" 4K Black",TV,Esnesih,"75""",4K,Black,8*1*1,8,DU38H,David,Receive,Put away
TaCI10AuBl,Table CITSATNAF 1000 Auto Adjustable Black,Table,CITSATNAF,1000,Auto Adjustable,Black,8*1*1,8,BN23D,Chris,Receive,Put away
PrReA2WiMi,Printer Rehtorb A2 Wifi Mix,Printer,Rehtorb,A2,Wifi,Mix,16*1*1,16,BL95C,Chris,Receive,Put away
KeSu45BlBl,Keyboard Susa 450 Bluetooth Black,Keyboard,Susa,450,Bluetooth,Black,16*10*1,160,BX93C,Amy,Receive,Put away
KePH27MeNa,Keyboard PH 270 Mechanical Navi,Keyboard,PH,270,Mechanical,Navi,16*10*1,160,CU71D,Emily,Receive,Put away
TVGn42SFWh,"TV Gnusmag 42"" SFHD White",TV,Gnusmag,"42""",SFHD,White,8*1*1,8,AP79A,Alex,Receive,Put away
LaSu1716Gr,"Laptop Susa 17"" 16GB RAM Grey",Laptop,Susa,"17""",16GB RAM,Grey,16*1*1,16,CK14G,Mike,Receive,Put away
TVEs654KSi,"TV Esnesih 65"" 4K Silver",TV,Esnesih,"65""",4K,Silver,8*1*1,8,BW73B,Alex,Receive,Put away
TVGL32S4Gr,"TV GL 32"" S4K Grey",TV,GL,"32""",S4K,Grey,8*1*1,8,BM75F,David,Receive,Put away
OfSELErPi,Office Chair SEWOL L Ergonomic Pink,Office Chair,SEWOL,L,Ergonomic,Pink,16*1*1,16,BF81E,John,Receive,Put away
AlPH1416Bl,"All-in-one PH 14"" 16GB RAM Black",All-in-one,PH,"14""",16GB RAM,Black,16*1*1,16,CQ15A,Sarah,Receive,Put away
AlSu158GSi,"All-in-one Susa 15"" 8GB RAM Silver",All-in-one,Susa,"15""",8GB RAM,Silver,16*1*1,16,BY78C,Jane,Receive,Put away
TVGn75S4Gr,"TV Gnusmag 75"" S4K Grey",TV,Gnusmag,"75""",S4K,Grey,8*1*1,8,BL02A,Laura,Receive,Put away
CuWE90DoBl,Cupboard WENO 900 Door Black,Cupboard,WENO,900,Door,Black,8*1*1,8,CW50C,Alex,Receive,Put away
PrNoA2MoWh,Printer Nospe A2 Mono White,Printer,Nospe,A2,Mono,White,16*1*1,16,AL33G,Amy,Receive,Put away
MoSu27BlNa,Mouse Susa 270 Bluetooth Navi,Mouse,Susa,270,Bluetooth,Navi,16*10*1,160,DF53A,Jane,Receive,Put away
TVYn754KWh,"TV Ynos 75"" 4K White",TV,Ynos,"75""",4K,White,8*1*1,8,CI75G,Sarah,Receive,Put away
CaTE18FiBe,Cabinet TEWOL 1800 Filing Beige,Cabinet,TEWOL,1800,Filing,Beige,8*1*1,8,CM22H,Jane,Receive,Put away
SPNa12SoWh,SPen Nalin 12 Soluble White,SPen,Nalin,12,Soluble,White,48*10*5,2400,DX01C,Laura,Receive,Put away
LaYn1516Bl,"Laptop Ynos 15"" 16GB RAM Black",Laptop,Ynos,"15""",16GB RAM,Black,16*1*1,16,CL97F,Amy,Receive,Put away
LaSu1516Wh,"Laptop Susa 15"" 16GB RAM White",Laptop,Susa,"15""",16GB RAM,White,16*1*1,16,BZ79A,Amy,Receive,Put away
DrRG18DoGr,Drawer RGAP 1800 Door Grey,Drawer,RGAP,1800,Door,Grey,8*1*1,8,BF08H,Emily,Receive,Put away
OfAESHePi,Office Chair AEKI S Head pillow Pink,Office Chair,AEKI,S,Head pillow,Pink,16*1*1,16,AQ91A,David,Receive,Put away
TVYn75SFBl,"TV Ynos 75"" SFHD Black",TV,Ynos,"75""",SFHD,Black,8*1*1,8,BQ02B,Amy,Receive,Put away
MoRe45WiWh,Mouse Rerar 450 Wireled White,Mouse,Rerar,450,Wireled,White,16*10*1,160,BV09D,Amy,Receive,Put away
PrReA3WiBl,Printer Rehtorb A3 Wifi Black,Printer,Rehtorb,A3,Wifi,Black,16*1*1,16,DR06B,Mike,Receive,Put away
TVGn32S4Si,"TV Gnusmag 32"" S4K Silver",TV,Gnusmag,"32""",S4K,Silver,8*1*1,8,DS36B,Amy,Receive,Put away
AlSu1432Bl,"All-in-one Susa 14"" 32GB RAM Black",All-in-one,Susa,"14""",32GB RAM,Black,16*1*1,16,CG55G,Mike,Receive,Put away
PrSoA4LaBl,Printer Sonac A4 Laser Black,Printer,Sonac,A4,Laser,Black,16*1*1,16,CI52E,John,Receive,Put away
AlRe1716Si,"All-in-one Rezar 17"" 16GB RAM Silver",All-in-one,Rezar,"17""",16GB RAM,Silver,16*1*1,16,AL08B,David,Receive,Put away
PrNoA3LaMi,Printer Nospe A3 Laser Mix,Printer,Nospe,A3,Laser,Mix,16*1*1,16,BO65B,David,Receive,Put away
CaWE12SlWh,Cabinet WENO 1200 Sliding White,Cabinet,WENO,1200,Sliding,White,8*1*1,8,BS19E,Emily,Receive,Put away
PrReA3LaBl,Printer Rehtorb A3 Laser Black,Printer,Rehtorb,A3,Laser,Black,16*1*1,16,AM63G,Laura,Receive,Put away
LaYn1432Bl,"Laptop Ynos 14"" 32GB RAM Black",Laptop,Ynos,"14""",32GB RAM,Black,16*1*1,16,CI11H,Chris,Receive,Put away
CaQE90DoBe,Cabinet QEKI 900 Door Beige,Cabinet,QEKI,900,Door,Beige,8*1*1,8,BV35H,Laura,Receive,Put away
CaWE90FiGr,Cabinet WENO 900 Filing Grey,Cabinet,WENO,900,Filing,Grey,8*1*1,8,BH43G,Emily,Receive,Put away
LaRe1716Si,"Laptop Rezar 17"" 16GB RAM Silver",Laptop,Rezar,"17""",16GB RAM,Silver,16*1*1,16,CR72F,Mike,Receive,Put away
MoPH27ErPi,Mouse PH 270 Ergonomic Pink,Mouse,PH,270,Ergonomic,Pink,16*10*1,160,BT80F,David,Receive,Put away
PeAl24SoWh,Pencil Aloyarc 24 Soluble White,Pencil,Aloyarc,24,Soluble,White,48*10*5,2400,AI26E,John,Receive,Put away
OfSEMAdBl,Office Chair SEWOL M Adjustable Black,Office Chair,SEWOL,M,Adjustable,Black,16*1*1,16,AT15B,Jane,Receive,Put away
TaTR10FrBl,Table TRAMA 1000 Frame Black,Table,TRAMA,1000,Frame,Black,8*1*1,8,DW92F,Mike,Receive,Put away
MoRe35MeBl,Mouse Rerar 350 Mechanical Black,Mouse,Rerar,350,Mechanical,Black,16*10*1,160,BW96B,Alex,Receive,Put away
LaYn14i5Bl,"Laptop Ynos 14"" i5 Black",Laptop,Ynos,"14""",i5,Black,16*1*1,16,AO77G,David,Receive,Put away
MoPH27BlBl,Mouse PH 270 Bluetooth Black,Mouse,PH,270,Bluetooth,Black,16*10*1,160,CL19H,David,Receive,Put away
MoSu35MePi,Mouse Susa 350 Mechanical Pink,Mouse,Susa,350,Mechanical,Pink,16*10*1,160,BU66G,Amy,Receive,Put away
NoGrA5liWh,Notebook Graph A5 line White,Notebook,Graph,A5,line,White,48*10*5,2400,AK93E,Chris,Receive,Put away
MoSu35BlNa,Mouse Susa 350 Bluetooth Navi,Mouse,Susa,350,Bluetooth,Navi,16*10*1,160,AU28F,Alex,Receive,Put away
