Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
AlPH1716Gr,"All-in-one PH 17"" 16GB RAM Grey",All-in-one,PH,"17""",16GB RAM,Grey,16*1*1,16,DF21F,Laura,Despatch,30005,Pick
LaYn17i7Bl,"Laptop Ynos 17"" i7 Black",Laptop,Ynos,"17""",i7,Black,16*1*1,4,CH14B,Laura,Despatch,30070,Pick
AlRe1732Si,"All-in-one Rezar 17"" 32GB RAM Silver",All-in-one,Rezar,"17""",32GB RAM,Silver,16*1*1,16,DW17A,John,Despatch,30001,Pick
OfAELAdWh,Office Chair AEKI L Adjustable White,Office Chair,AEKI,L,Adjustable,White,16*1*1,16,DF35G,Chris,Despatch,30001,Pick
AlSu1532Bl,"All-in-one Susa 15"" 32GB RAM Black",All-in-one,Susa,"15""",32GB RAM,Black,16*1*1,16,AU83G,Chris,Despatch,30068,Pick
LaPH14i5Wh,"Laptop PH 14"" i5 White",Laptop,PH,"14""",i5,White,16*1*1,8,DT36F,Chris,Despatch,30013,Pick
LaPH1532Si,"Laptop PH 15"" 32GB RAM Silver",Laptop,PH,"15""",32GB RAM,Silver,16*1*1,16,BN65H,Chris,Despatch,30027,Pick
MoPH45WiNa,Mouse PH 450 Wireled Navi,Mouse,PH,450,Wireled,Navi,16*10*1,160,BO36D,John,Despatch,30066,Pick
TVGn654KSi,"TV Gnusmag 65"" 4K Silver",TV,Gnusmag,"65""",4K,Silver,8*1*1,8,BV84A,Jane,Despatch,30010,Pick
MoHc45ErPi,Mouse Hcetigol 450 Ergonomic Pink,Mouse,Hcetigol,450,Ergonomic,Pink,16*10*1,160,BN09D,Amy,Despatch,30081,Pick
MoPH35BlPi,Mouse PH 350 Bluetooth Pink,Mouse,PH,350,Bluetooth,Pink,16*10*1,160,AI19B,Sarah,Despatch,30019,Pick
KeSu27BlWh,Keyboard Susa 270 Bluetooth White,Keyboard,Susa,270,Bluetooth,White,16*10*1,160,AP28F,Emily,Despatch,30024,Pick
PrSoA2MoBl,Printer Sonac A2 Mono Black,Printer,Sonac,A2,Mono,Black,16*1*1,2,CK65F,Laura,Despatch,30007,Pick
PrReA2MoBl,Printer Rehtorb A2 Mono Black,Printer,Rehtorb,A2,Mono,Black,16*1*1,16,CF43D,Mike,Despatch,30036,Pick
TVGL504KSi,"TV GL 50"" 4K Silver",TV,GL,"50""",4K,Silver,8*1*1,5,CY35B,Mike,Despatch,30011,Pick
CuRG12DoBl,Cupboard RGAP 1200 Door Black,Cupboard,RGAP,1200,Door,Black,8*1*1,8,AH75B,Amy,Despatch,30085,Pick
GaAESAdBl,Gaming Chair AEKI S Adjustable Black,Gaming Chair,AEKI,S,Adjustable,Black,16*1*1,12,DZ71C,Mike,Despatch,30051,Pick
TaTR10WoGr,Table TRAMA 1000 Workstation Grey,Table,TRAMA,1000,Workstation,Grey,8*1*1,8,AT24H,Emily,Despatch,30070,Pick
CuQE18LoBl,Cupboard QEKI 1800 Locker Black,Cupboard,QEKI,1800,Locker,Black,8*1*1,1,DX32C,Emily,Despatch,30040,Pick
NoGrA4liSi,Notebook Graph A4 line Silver,Notebook,Graph,A4,line,Silver,48*10*5,1751,CS46C,Alex,Despatch,30094,Pick
LaRe148GBl,"Laptop Rezar 14"" 8GB RAM Black",Laptop,Rezar,"14""",8GB RAM,Black,16*1*1,16,DR80G,Laura,Despatch,30091,Pick
MoRe27BlWh,Mouse Rerar 270 Bluetooth White,Mouse,Rerar,270,Bluetooth,White,16*10*1,54,BS55A,Jane,Despatch,30004,Pick
AlYn14i5Wh,"All-in-one Ynos 14"" i5 White",All-in-one,Ynos,"14""",i5,White,16*1*1,16,BJ48G,Chris,Despatch,30081,Pick
LaOv1432Si,"Laptop Ovonel 14"" 32GB RAM Silver",Laptop,Ovonel,"14""",32GB RAM,Silver,16*1*1,9,CL86G,Alex,Despatch,30049,Pick
CuRG12LoGr,Cupboard RGAP 1200 Locker Grey,Cupboard,RGAP,1200,Locker,Grey,8*1*1,5,AR07E,Jane,Despatch,30001,Pick
DrTE18DoBl,Drawer TEWOL 1800 Door Black,Drawer,TEWOL,1800,Door,Black,8*1*1,6,DI28A,David,Despatch,30065,Pick
TaCI15WoWh,Table CITSATNAF 1500 Workstation White,Table,CITSATNAF,1500,Workstation,White,8*1*1,8,CP16D,Emily,Despatch,30003,Pick
OfOGLHeGr,Office Chair OGAP L Head pillow Grey,Office Chair,OGAP,L,Head pillow,Grey,16*1*1,6,AP84D,Jane,Despatch,30030,Pick
PrReA4MoBl,Printer Rehtorb A4 Mono Black,Printer,Rehtorb,A4,Mono,Black,16*1*1,8,CV64G,Alex,Despatch,30020,Pick
AlYn1432Bl,"All-in-one Ynos 14"" 32GB RAM Black",All-in-one,Ynos,"14""",32GB RAM,Black,16*1*1,11,BW37D,Emily,Despatch,30055,Pick
PeGi50SoGr,Pencil Gib 50 Soluble Grey,Pencil,Gib,50,Soluble,Grey,48*10*5,131,CW92H,Chris,Despatch,30073,Pick
PrSoA3AlMi,Printer Sonac A3 All-in-one Mix,Printer,Sonac,A3,All-in-one,Mix,16*1*1,16,DY22F,Laura,Despatch,30021,Pick
TaTR10AuGr,Table TRAMA 1000 Auto Adjustable Grey,Table,TRAMA,1000,Auto Adjustable,Grey,8*1*1,7,DN53G,Amy,Despatch,30042,Pick
DrQE18DoWh,Drawer QEKI 1800 Door White,Drawer,QEKI,1800,Door,White,8*1*1,5,DK38H,Amy,Despatch,30019,Pick
TVGL50SFGr,"TV GL 50"" SFHD Grey",TV,GL,"50""",SFHD,Grey,8*1*1,8,BP23D,John,Despatch,30031,Pick
CaWE18DoWh,Cabinet WENO 1800 Door White,Cabinet,WENO,1800,Door,White,8*1*1,8,BF54H,Jane,Despatch,30031,Pick
DrTE18SlWh,Drawer TEWOL 1800 Sliding White,Drawer,TEWOL,1800,Sliding,White,8*1*1,1,AJ12D,Laura,Despatch,30007,Pick
CuQE18FiBe,Cupboard QEKI 1800 Filing Beige,Cupboard,QEKI,1800,Filing,Beige,8*1*1,8,CY09F,Jane,Despatch,30055,Pick
CuWE18FiWh,Cupboard WENO 1800 Filing White,Cupboard,WENO,1800,Filing,White,8*1*1,3,CY21C,Alex,Despatch,30074,Pick
LaYn1716Bl,"Laptop Ynos 17"" 16GB RAM Black",Laptop,Ynos,"17""",16GB RAM,Black,16*1*1,16,BM89G,Chris,Despatch,30059,Pick
GaSESLePi,Gaming Chair SEWOL S Leather Pink,Gaming Chair,SEWOL,S,Leather,Pink,16*1*1,1,AZ40H,Emily,Despatch,30002,Pick
GaXESLePi,Gaming Chair XENO S Leather Pink,Gaming Chair,XENO,S,Leather,Pink,16*1*1,4,CL46A,Sarah,Despatch,30064,Pick
AlRe1732Wh,"All-in-one Rezar 17"" 32GB RAM White",All-in-one,Rezar,"17""",32GB RAM,White,16*1*1,16,AO31B,John,Despatch,30020,Pick
LaOv15i7Wh,"Laptop Ovonel 15"" i7 White",Laptop,Ovonel,"15""",i7,White,16*1*1,16,DY57F,David,Despatch,30091,Pick
SPRe24WaWh,SPen Reldeats 24 Watercolour White,SPen,Reldeats,24,Watercolour,White,48*10*5,2400,CH13G,Amy,Despatch,30045,Pick
TVYn50SFSi,"TV Ynos 50"" SFHD Silver",TV,Ynos,"50""",SFHD,Silver,8*1*1,1,DV63H,Jane,Despatch,30028,Pick
PeGi50HeWh,Pencil Gib 50 Hexagonal White,Pencil,Gib,50,Hexagonal,White,48*10*5,1609,DX65B,Jane,Despatch,30018,Pick
KeRe45ErNa,Keyboard Rerar 450 Ergonomic Navi,Keyboard,Rerar,450,Ergonomic,Navi,16*10*1,160,BQ13B,John,Despatch,30022,Pick
LaYn17i5Gr,"Laptop Ynos 17"" i5 Grey",Laptop,Ynos,"17""",i5,Grey,16*1*1,16,BI98A,Alex,Despatch,30015,Pick
TVGL65SFWh,"TV GL 65"" SFHD White",TV,GL,"65""",SFHD,White,8*1*1,8,CU34H,Mike,Despatch,30053,Pick
CaQE90SlWh,Cabinet QEKI 900 Sliding White,Cabinet,QEKI,900,Sliding,White,8*1*1,8,CW04F,Laura,Despatch,30022,Pick
PrReA2WiWh,Printer Rehtorb A2 Wifi White,Printer,Rehtorb,A2,Wifi,White,16*1*1,16,BX95E,Mike,Despatch,30009,Pick
MoRe27BlNa,Mouse Rerar 270 Bluetooth Navi,Mouse,Rerar,270,Bluetooth,Navi,16*10*1,160,AK75A,Chris,Despatch,30013,Pick
GaOGLLeGr,Gaming Chair OGAP L Leather Grey,Gaming Chair,OGAP,L,Leather,Grey,16*1*1,8,AG13D,Alex,Despatch,30093,Pick
TVGn32S4Si,"TV Gnusmag 32"" S4K Silver",TV,Gnusmag,"32""",S4K,Silver,8*1*1,3,AV29E,Chris,Despatch,30045,Pick
TaAE10AdGr,Table AEKI 1000 Adjustable Grey,Table,AEKI,1000,Adjustable,Grey,8*1*1,8,BS27H,Laura,Despatch,30059,Pick
DrQE12SlGr,Drawer QEKI 1200 Sliding Grey,Drawer,QEKI,1200,Sliding,Grey,8*1*1,8,AI52F,John,Despatch,30054,Pick
TVGn32FHBl,"TV Gnusmag 32"" FHD Black",TV,Gnusmag,"32""",FHD,Black,8*1*1,8,DQ96H,Chris,Despatch,30018,Pick
PrSoA4MoGr,Printer Sonac A4 Mono Grey,Printer,Sonac,A4,Mono,Grey,16*1*1,9,BW28B,Amy,Despatch,30055,Pick
GaXELErPi,Gaming Chair XENO L Ergonomic Pink,Gaming Chair,XENO,L,Ergonomic,Pink,16*1*1,16,CI14H,Laura,Despatch,30045,Pick
CaTE12SlGr,Cabinet TEWOL 1200 Sliding Grey,Cabinet,TEWOL,1200,Sliding,Grey,8*1*1,2,AL01B,Laura,Despatch,30043,Pick
TaAE10AuBl,Table AEKI 1000 Auto Adjustable Black,Table,AEKI,1000,Auto Adjustable,Black,8*1*1,8,AJ93G,David,Despatch,30060,Pick
DrWE12FiGr,Drawer WENO 1200 Filing Grey,Drawer,WENO,1200,Filing,Grey,8*1*1,8,DO22D,Laura,Despatch,30031,Pick
MoHc35ErWh,Mouse Hcetigol 350 Ergonomic White,Mouse,Hcetigol,350,Ergonomic,White,16*10*1,160,AX35C,Alex,Despatch,30005,Pick
TVYn65FHWh,"TV Ynos 65"" FHD White",TV,Ynos,"65""",FHD,White,8*1*1,8,CI72F,Emily,Despatch,30049,Pick
KeHc45WiPi,Keyboard Hcetigol 450 Wireled Pink,Keyboard,Hcetigol,450,Wireled,Pink,16*10*1,160,BZ81B,John,Despatch,30042,Pick
CuTE90SlWh,Cupboard TEWOL 900 Sliding White,Cupboard,TEWOL,900,Sliding,White,8*1*1,8,DS63C,Chris,Despatch,30099,Pick
TVGn754KWh,"TV Gnusmag 75"" 4K White",TV,Gnusmag,"75""",4K,White,8*1*1,8,CP13G,Emily,Despatch,30079,Pick
AlSu14i5Si,"All-in-one Susa 14"" i5 Silver",All-in-one,Susa,"14""",i5,Silver,16*1*1,16,DQ83A,Sarah,Despatch,30085,Pick
MoRe27BlBl,Mouse Rerar 270 Bluetooth Black,Mouse,Rerar,270,Bluetooth,Black,16*10*1,160,BM77B,Emily,Despatch,30067,Pick
CaWE12DoWh,Cabinet WENO 1200 Door White,Cabinet,WENO,1200,Door,White,8*1*1,4,DW64B,Emily,Despatch,30004,Pick
LaYn1516Gr,"Laptop Ynos 15"" 16GB RAM Grey",Laptop,Ynos,"15""",16GB RAM,Grey,16*1*1,16,DK32F,Emily,Despatch,30005,Pick
PeAl24SoGr,Pencil Aloyarc 24 Soluble Grey,Pencil,Aloyarc,24,Soluble,Grey,48*10*5,2400,BO68D,Amy,Despatch,30037,Pick
AlSu1416Si,"All-in-one Susa 14"" 16GB RAM Silver",All-in-one,Susa,"14""",16GB RAM,Silver,16*1*1,16,DU87G,Sarah,Despatch,30085,Pick
OfOGLAdBl,Office Chair OGAP L Adjustable Black,Office Chair,OGAP,L,Adjustable,Black,16*1*1,16,CU14E,David,Despatch,30048,Pick
OfXESAdWh,Office Chair XENO S Adjustable White,Office Chair,XENO,S,Adjustable,White,16*1*1,11,CJ60C,Mike,Despatch,30003,Pick
CuRG18LoGr,Cupboard RGAP 1800 Locker Grey,Cupboard,RGAP,1800,Locker,Grey,8*1*1,8,CS71B,Alex,Despatch,30011,Pick
DrQE90FiBe,Drawer QEKI 900 Filing Beige,Drawer,QEKI,900,Filing,Beige,8*1*1,8,CL31B,Mike,Despatch,30009,Pick
CuTE12DoBe,Cupboard TEWOL 1200 Door Beige,Cupboard,TEWOL,1200,Door,Beige,8*1*1,6,BY04D,Laura,Despatch,30008,Pick
AlOv14i7Si,"All-in-one Ovonel 14"" i7 Silver",All-in-one,Ovonel,"14""",i7,Silver,16*1*1,3,DL79H,Amy,Despatch,30007,Pick
AlOv1716Gr,"All-in-one Ovonel 17"" 16GB RAM Grey",All-in-one,Ovonel,"17""",16GB RAM,Grey,16*1*1,7,DQ34E,Mike,Despatch,30044,Pick
NoGrA3ruSi,Notebook Graph A3 ruled Silver,Notebook,Graph,A3,ruled,Silver,48*10*5,1202,CT84A,Alex,Despatch,30058,Pick
GaXELErWh,Gaming Chair XENO L Ergonomic White,Gaming Chair,XENO,L,Ergonomic,White,16*1*1,2,BP33D,Alex,Despatch,30073,Pick
KeRe35BlBl,Keyboard Rerar 350 Bluetooth Black,Keyboard,Rerar,350,Bluetooth,Black,16*10*1,11,BQ05E,Laura,Despatch,30006,Pick
CaWE12DoGr,Cabinet WENO 1200 Door Grey,Cabinet,WENO,1200,Door,Grey,8*1*1,8,BQ47D,Laura,Despatch,30007,Pick
TVYn32FHSi,"TV Ynos 32"" FHD Silver",TV,Ynos,"32""",FHD,Silver,8*1*1,8,AX58A,Amy,Despatch,30069,Pick
CuQE12SlGr,Cupboard QEKI 1200 Sliding Grey,Cupboard,QEKI,1200,Sliding,Grey,8*1*1,8,BT25A,Alex,Despatch,30028,Pick
AlRe15i5Wh,"All-in-one Rezar 15"" i5 White",All-in-one,Rezar,"15""",i5,White,16*1*1,16,AM46D,Laura,Despatch,30021,Pick
OfAEMErGr,Office Chair AEKI M Ergonomic Grey,Office Chair,AEKI,M,Ergonomic,Grey,16*1*1,3,DU13C,David,Despatch,30017,Pick
LaOv1516Bl,"Laptop Ovonel 15"" 16GB RAM Black",Laptop,Ovonel,"15""",16GB RAM,Black,16*1*1,7,BF17B,Laura,Despatch,30086,Pick
LaSu1416Bl,"Laptop Susa 14"" 16GB RAM Black",Laptop,Susa,"14""",16GB RAM,Black,16*1*1,2,CZ54F,Chris,Despatch,30052,Pick
LaRe148GWh,"Laptop Rezar 14"" 8GB RAM White",Laptop,Rezar,"14""",8GB RAM,White,16*1*1,16,BO68B,Mike,Despatch,30099,Pick
NoGrA4ruBl,Notebook Graph A4 ruled Black,Notebook,Graph,A4,ruled,Black,48*10*5,2400,CZ88B,Chris,Despatch,30060,Pick
TVGn75S4Si,"TV Gnusmag 75"" S4K Silver",TV,Gnusmag,"75""",S4K,Silver,8*1*1,4,CK35F,John,Despatch,30047,Pick
DrQE18FiBl,Drawer QEKI 1800 Filing Black,Drawer,QEKI,1800,Filing,Black,8*1*1,7,BV12E,David,Despatch,30049,Pick
TVEs654KWh,"TV Esnesih 65"" 4K White",TV,Esnesih,"65""",4K,White,8*1*1,8,CR31G,Laura,Despatch,30081,Pick
CaWE12DoGr,Cabinet WENO 1200 Door Grey,Cabinet,WENO,1200,Door,Grey,8*1*1,8,CK82B,Sarah,Despatch,30003,Pick
NoGrA3liWh,Notebook Graph A3 line White,Notebook,Graph,A3,line,White,48*10*5,2400,CU50E,Jane,Despatch,30074,Pick
TVYn424KWh,"TV Ynos 42"" 4K White",TV,Ynos,"42""",4K,White,8*1*1,4,AG16D,David,Despatch,30076,Pick
PrReA4WiMi,Printer Rehtorb A4 Wifi Mix,Printer,Rehtorb,A4,Wifi,Mix,16*1*1,16,AP52C,Alex,Despatch,30092,Pick
DrTE90LoWh,Drawer TEWOL 900 Locker White,Drawer,TEWOL,900,Locker,White,8*1*1,2,BI15E,Sarah,Despatch,30081,Pick
PrNoA4LaWh,Printer Nospe A4 Laser White,Printer,Nospe,A4,Laser,White,16*1*1,16,AZ26C,Alex,Despatch,30001,Pick
NoExA4doWh,Notebook Excercise A4 dot White,Notebook,Excercise,A4,dot,White,48*10*5,1903,BM12A,David,Despatch,30038,Pick
LaRe17i7Bl,"Laptop Rezar 17"" i7 Black",Laptop,Rezar,"17""",i7,Black,16*1*1,16,DF36C,Sarah,Despatch,30086,Pick
SPAl50SoPi,SPen Aloyarc 50 Soluble Pink,SPen,Aloyarc,50,Soluble,Pink,48*10*5,1308,CN69G,Laura,Despatch,30072,Pick
CaTE18LoWh,Cabinet TEWOL 1800 Locker White,Cabinet,TEWOL,1800,Locker,White,8*1*1,3,CY90E,Amy,Despatch,30038,Pick
CaRG12FiWh,Cabinet RGAP 1200 Filing White,Cabinet,RGAP,1200,Filing,White,8*1*1,8,CR59G,John,Despatch,30075,Pick
PeAl50WaGr,Pencil Aloyarc 50 Watercolour Grey,Pencil,Aloyarc,50,Watercolour,Grey,48*10*5,2319,DF74D,Laura,Despatch,30080,Pick
KeRe45ErPi,Keyboard Rerar 450 Ergonomic Pink,Keyboard,Rerar,450,Ergonomic,Pink,16*10*1,160,DH36C,Emily,Despatch,30081,Pick
AlYn1416Si,"All-in-one Ynos 14"" 16GB RAM Silver",All-in-one,Ynos,"14""",16GB RAM,Silver,16*1*1,1,CO41D,Sarah,Despatch,30096,Pick
